task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	5d/de27b9	1445	getReadFTP (1)	CACHED	0	2025-07-12 19:23:32.405	34.5s	7.5s	3.6%	38.8 MB	51.4 MB	5.3 MB	13.2 KB
2	93/cc6829	1446	downloadReadFTP (1)	CACHED	0	2025-07-12 19:24:07.028	1h 25m 40s	1h 24m 24s	0.3%	20.1 MB	32.9 MB	7.1 GB	4.7 GB
4	e7/a8420f	1448	bbduk (1)	CACHED	0	2025-07-12 20:49:49.968	7m 48s	6m 55s	301.0%	3.4 GB	48.7 GB	29.2 GB	29.3 GB
3	b9/325e6b	1447	raw_fastqc (1)	CACHED	0	2025-07-12 20:49:48.393	7m 9s	6m 6s	97.1%	297.5 MB	3.4 GB	4.7 GB	3.5 MB
7	74/5351d7	1449	raw_multiqc	CACHED	0	2025-07-12 20:56:57.825	34.8s	10.6s	80.1%	110.6 MB	10.3 GB	44.2 MB	17.8 MB
5	59/80406f	1450	trimmed_fastqc (1)	CACHED	0	2025-07-12 20:57:37.783	6m 10s	5m 57s	101.4%	283.6 MB	3.4 GB	4.8 GB	3.6 MB
6	77/7f724c	1451	trinity	CACHED	0	2025-07-12 20:57:37.865	15h 2m 4s	15h 1m 50s	376.7%	123.3 GB	201.3 GB	981.6 GB	497.2 GB
8	d4/19b70c	1452	trimmed_multiqc	CACHED	0	2025-07-12 21:03:47.818	35.4s	6.1s	167.7%	111.6 MB	10.3 GB	44.3 MB	17.9 MB
9	d1/a35172	1474	transdecoder	CACHED	0	2025-07-13 11:59:42.592	9m 5s	8m 40s	110.2%	745 MB	10.3 GB	886.2 MB	351.3 MB
12	65/41e5fc	1476	salmonIndex	CACHED	0	2025-07-13 11:59:42.770	1m 10s	38.4s	195.0%	190.5 MB	585.9 MB	1.5 GB	291.1 MB
11	42/802197	1525	transrate	COMPLETED	0	2025-07-13 19:24:43.806	34.1s	6.6s	81.3%	271 MB	476.4 MB	64 MB	2.2 MB
14	bf/d93db2	1527	salmonQuant (1)	COMPLETED	0	2025-07-13 19:24:44.154	3m 14s	2m 53s	537.0%	552.5 MB	893.8 MB	4.9 GB	3.1 MB
10	45/c8cc8e	1526	busco	COMPLETED	0	2025-07-13 19:24:43.956	13m 14s	12m 41s	298.7%	1.8 GB	144.5 GB	8.6 GB	4.8 GB
13	51/592c49	1528	eggNOG_mapper	COMPLETED	0	2025-07-13 19:24:44.304	13h 40m 30s	13h 40m 10s	109.4%	6.8 GB	9.9 GB	92 GB	885.6 MB
