task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	93/9c1164	1668	getReadFTP (1)	COMPLETED	0	2025-07-14 16:30:13.755	32.8s	5.9s	5.1%	39.5 MB	51.4 MB	5.3 MB	13.3 KB
2	59/b0de33	1677	getReadFTP (2)	COMPLETED	0	2025-07-14 16:30:46.640	1m 5s	3.6s	7.8%	40.1 MB	51.4 MB	5.3 MB	13.2 KB
4	11/1c0cab	1687	getReadFTP (4)	COMPLETED	0	2025-07-14 16:32:17.195	1m 44s	15.5s	1.7%	28 MB	39.8 MB	5.3 MB	13.2 KB
3	58/addf0a	1696	getReadFTP (3)	COMPLETED	0	2025-07-14 16:34:01.714	1m	5.1s	7.4%	39.8 MB	51.3 MB	5.3 MB	13.2 KB
5	db/f101bb	1678	downloadReadFTP (1)	COMPLETED	0	2025-07-14 16:30:46.739	23m 59s	23m 18s	0.4%	18.1 MB	31.1 MB	1.9 GB	1.3 GB
7	79/c2fa5b	1697	downloadReadFTP (3)	COMPLETED	0	2025-07-14 16:34:01.797	22m 34s	21m 44s	0.3%	18 MB	31 MB	1.4 GB	934.9 MB
10	9b/e461bb	1712	bbduk (1)	COMPLETED	0	2025-07-14 16:54:45.680	3m 20s	3m 13s	393.8%	2.6 GB	48.8 GB	16.5 GB	16.6 GB
9	0d/7e9dcc	1711	raw_fastqc (1)	COMPLETED	0	2025-07-14 16:54:45.582	4m 15s	3m 30s	101.1%	291.1 MB	3.5 GB	1.3 GB	3.5 MB
12	9b/2584ce	1718	bbduk (2)	COMPLETED	0	2025-07-14 16:56:36.719	3m 9s	2m 38s	470.9%	2.4 GB	47.7 GB	11.8 GB	11.8 GB
11	b7/ffe9a7	1719	raw_fastqc (2)	COMPLETED	0	2025-07-14 16:56:37.046	3m 13s	2m 24s	103.1%	258.2 MB	3.4 GB	964.5 MB	3.5 MB
13	12/c5ea7e	1722	trimmed_fastqc (1)	COMPLETED	0	2025-07-14 16:58:05.530	5m	4m 16s	86.1%	275.3 MB	3.4 GB	1.4 GB	3.5 MB
6	35/f8609c	1689	downloadReadFTP (2)	COMPLETED	0	2025-07-14 16:32:21.474	31m 19s	29m 48s	0.4%	18.4 MB	31.1 MB	2 GB	1.3 GB
8	06/f55f56	1700	downloadReadFTP (4)	COMPLETED	0	2025-07-14 16:35:18.215	28m 37s	27m 39s	0.2%	19.2 MB	31.1 MB	1.7 GB	1.1 GB
14	3c/05d961	1724	trimmed_fastqc (2)	COMPLETED	0	2025-07-14 16:59:45.573	4m 10s	3m 10s	104.8%	292.6 MB	3.4 GB	999.7 MB	3.4 MB
