task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	5f/917991	1692	getReadFTP (2)	CACHED	0	2025-07-14 16:33:32.247	1m 4s	4.1s	6.6%	40.2 MB	51.4 MB	5.3 MB	13.3 KB
1	9b/ca62a9	1686	getReadFTP (1)	CACHED	0	2025-07-14 16:32:11.395	1m 20s	24.7s	1.2%	37.5 MB	51.4 MB	5.3 MB	13.3 KB
3	08/d48cad	1683	getReadFTP (3)	CACHED	0	2025-07-14 16:31:13.256	33.2s	3.7s	7.3%	39.4 MB	51.4 MB	5.3 MB	13.3 KB
4	27/34bff4	1674	getReadFTP (4)	CACHED	0	2025-07-14 16:30:36.763	34.5s	3.7s	7.5%	38.4 MB	51.4 MB	5.3 MB	13.3 KB
7	75/e752a2	1684	downloadReadFTP (1)	CACHED	0	2025-07-14 16:31:16.671	29m 44s	29m 17s	0.3%	18.7 MB	31.1 MB	1.6 GB	1.1 GB
6	b2/797bcf	1690	downloadReadFTP (2)	CACHED	0	2025-07-14 16:32:22.337	20m 58s	20m 1s	0.3%	20.5 MB	32.9 MB	1.5 GB	1 GB
12	71/ec7935	1753	bbduk (2)	COMPLETED	0	2025-07-14 17:30:20.024	3m 8s	2m 13s	428.2%	2.3 GB	48.8 GB	13.2 GB	13.3 GB
10	9f/0584a5	1752	bbduk (1)	COMPLETED	0	2025-07-14 17:30:19.943	3m 22s	3m 2s	483.5%	2.4 GB	47.8 GB	14 GB	14 GB
11	e5/77d6cb	1750	raw_fastqc (2)	COMPLETED	0	2025-07-14 17:30:19.782	4m 13s	2m 57s	94.8%	291.8 MB	3.4 GB	1 GB	3.5 MB
9	d6/5c3c21	1751	raw_fastqc (1)	COMPLETED	0	2025-07-14 17:30:19.860	4m 13s	3m 9s	89.8%	339.2 MB	3.4 GB	1.1 GB	3.6 MB
13	54/b07f28	1754	trimmed_fastqc (1)	COMPLETED	0	2025-07-14 17:33:29.640	3m 8s	2m 40s	102.9%	280.9 MB	3.4 GB	1.1 GB	3.5 MB
14	bc/2609a5	1755	trimmed_fastqc (2)	COMPLETED	0	2025-07-14 17:33:42.558	3m 55s	3m 10s	93.5%	380.7 MB	3.4 GB	1.2 GB	3.5 MB
8	52/f35058	1748	downloadReadFTP (4)	COMPLETED	0	2025-07-14 17:30:19.203	10m 29s	9m 37s	0.6%	19.3 MB	32.9 MB	1.5 GB	1 GB
16	e4/796543	1757	raw_fastqc (3)	COMPLETED	0	2025-07-14 17:40:52.757	3m 15s	2m 47s	96.5%	263.7 MB	3.5 GB	1 GB	3.5 MB
