task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	63/91074a	2093	getReadFTP (1)	COMPLETED	0	2025-07-15 18:08:58.445	19.5s	5.3s	7.6%	39 MB	51.3 MB	5.3 MB	13.2 KB
4	6b/9d266b	2094	getReadFTP (4)	COMPLETED	0	2025-07-15 18:09:18.248	14.5s	3.7s	10.3%	40.1 MB	51.3 MB	5.3 MB	13.2 KB
3	13/edb025	2096	getReadFTP (3)	COMPLETED	0	2025-07-15 18:09:32.904	34.9s	4.3s	8.6%	39.5 MB	51.3 MB	5.3 MB	13.2 KB
2	72/421e59	2098	getReadFTP (2)	COMPLETED	0	2025-07-15 18:10:07.896	9.9s	4.1s	9.6%	39.4 MB	51.3 MB	5.3 MB	13.2 KB
5	ba/708f6c	2095	downloadReadFTP (1)	COMPLETED	0	2025-07-15 18:09:19.350	19m 59s	19m 48s	0.5%	18.3 MB	31.1 MB	1.4 GB	940.6 MB
8	ec/acf472	2100	downloadReadFTP (4)	COMPLETED	0	2025-07-15 18:10:18.078	19m 10s	18m 45s	0.5%	19.2 MB	32.9 MB	1.3 GB	897.5 MB
6	01/ae1441	2097	downloadReadFTP (2)	COMPLETED	0	2025-07-15 18:09:33.015	21m 20s	20m 26s	0.3%	17.9 MB	31 MB	1.3 GB	908 MB
7	0a/768756	2099	downloadReadFTP (3)	COMPLETED	0	2025-07-15 18:10:07.994	21m 35s	21m 26s	0.5%	18.6 MB	31.1 MB	1.5 GB	1011.4 MB
10	1e/7d0505	2116	bbduk (1)	COMPLETED	0	2025-07-15 18:29:20.980	2m 57s	2m 45s	467.0%	2.4 GB	47.7 GB	12 GB	12.1 GB
11	a3/8c0e9b	2118	bbduk (2)	COMPLETED	0	2025-07-15 18:29:28.345	3m 15s	2m 9s	389.5%	2.4 GB	48.7 GB	11.4 GB	11.5 GB
9	42/fbe8d8	2115	raw_fastqc (1)	COMPLETED	0	2025-07-15 18:29:19.611	3m 54s	3m 18s	80.2%	257.4 MB	3.4 GB	970.2 MB	3.6 MB
