task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	35/81e113	2084	getReadFTP (4)	COMPLETED	0	2025-07-15 17:57:41.773	31.2s	6s	6.6%	39.6 MB	51.3 MB	5.3 MB	13.2 KB
1	fd/22b4a2	2085	getReadFTP (1)	COMPLETED	0	2025-07-15 17:58:13.148	1m 5s	3.8s	10.2%	38.3 MB	51.3 MB	5.3 MB	13.2 KB
3	62/8a324e	2087	getReadFTP (3)	COMPLETED	0	2025-07-15 17:59:19.446	1m 4s	10.8s	3.9%	39.5 MB	51.3 MB	5.3 MB	13.2 KB
2	a9/2a346b	2089	getReadFTP (2)	COMPLETED	0	2025-07-15 18:00:23.199	1m 5s	3.8s	10.2%	39.1 MB	51.3 MB	5.3 MB	13.2 KB
5	a2/135689	2086	downloadReadFTP (1)	COMPLETED	0	2025-07-15 17:58:13.245	18m 45s	18m 2s	0.5%	19.9 MB	31.1 MB	1.2 GB	809.6 MB
8	95/c3a492	2091	downloadReadFTP (4)	COMPLETED	0	2025-07-15 18:01:28.174	17m 45s	17m 14s	0.5%	17.8 MB	31.1 MB	1.2 GB	797.7 MB
9	a5/14db65	2102	bbduk (1)	COMPLETED	0	2025-07-15 18:16:58.700	3m 15s	2m 15s	460.9%	2.4 GB	47.8 GB	10.3 GB	10.4 GB
10	82/1beb4b	2101	raw_fastqc (1)	COMPLETED	0	2025-07-15 18:16:58.549	3m 20s	2m 39s	83.1%	307.6 MB	3.4 GB	839.4 MB	3.5 MB
11	c3/1d3495	2104	bbduk (2)	COMPLETED	0	2025-07-15 18:19:14.045	2m 9s	1m 43s	442.0%	2.3 GB	48.7 GB	10.2 GB	10.2 GB
12	8d/cfb9cc	2103	raw_fastqc (2)	COMPLETED	0	2025-07-15 18:19:13.659	2m 39s	2m 21s	93.3%	261.2 MB	3.4 GB	827.5 MB	3.5 MB
6	ff/18109f	2088	downloadReadFTP (2)	COMPLETED	0	2025-07-15 17:59:19.533	22m 54s	22m 16s	0.5%	19.1 MB	31.1 MB	1.5 GB	1 GB
13	80/19db16	2105	trimmed_fastqc (1)	COMPLETED	0	2025-07-15 18:20:14.759	2m 58s	2m 42s	86.0%	343.2 MB	3.5 GB	870.8 MB	3.4 MB
7	c5/507844	2090	downloadReadFTP (3)	COMPLETED	0	2025-07-15 18:00:23.321	23m 40s	23m 33s	0.3%	18.6 MB	31 MB	1.5 GB	1 GB
14	3a/dc949a	2106	trimmed_fastqc (2)	COMPLETED	0	2025-07-15 18:21:27.964	3m 5s	2m 11s	103.6%	274.7 MB	3.4 GB	857.1 MB	3.4 MB
