task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	12/8714fe	928967	getReadFTP (2)	CACHED	0	2025-05-30 07:40:03.956	6.2s	4.1s	12.8%	42.9 MB	92.2 MB	5.2 MB	13.4 KB
1	bf/3ae407	928630	getReadFTP (1)	CACHED	0	2025-05-30 07:39:58.527	5.4s	3.8s	11.7%	43.9 MB	92.2 MB	5.2 MB	13.4 KB
4	0d/65594c	929310	downloadReadFTP (1)	CACHED	0	2025-05-30 07:40:20.274	5m 59s	5m 57s	2.3%	20.9 MB	44.7 MB	358.8 MB	239.6 MB
3	33/ffa801	929312	downloadReadFTP (2)	CACHED	0	2025-05-30 07:40:20.289	6m 12s	6m 11s	2.2%	20.9 MB	44.7 MB	368.4 MB	244.6 MB
5	99/f1e3f3	959495	bbduk (2)	CACHED	0	2025-05-30 08:01:54.573	1m 4s	1m 2s	322.5%	952.6 MB	16.5 GB	2.5 GB	2.5 GB
6	dd/5cb645	958393	raw_fastqc (2)	CACHED	0	2025-05-30 08:01:11.733	42.8s	40.7s	117.8%	636.8 MB	4.8 GB	260 MB	5 MB
7	a7/6615a0	957155	raw_fastqc (1)	CACHED	0	2025-05-30 08:00:23.723	48s	45.9s	115.8%	580.6 MB	4.9 GB	265.1 MB	5 MB
8	d9/546c4a	962760	bbduk (1)	CACHED	0	2025-05-30 08:02:58.895	55s	53s	334.9%	954.6 MB	16.5 GB	2.4 GB	2.4 GB
11	3d/1cf818	2407958	raw_multiqc	CACHED	0	2025-05-30 20:40:32.701	5.2s	3.2s	85.6%	140.4 MB	754.2 MB	45.1 MB	18.2 MB
9	d7/37e419	965552	trimmed_fastqc (1)	CACHED	0	2025-05-30 08:03:53.930	45.6s	43.8s	115.9%	633.1 MB	4.9 GB	272.2 MB	5 MB
10	c1/d1a2fb	966710	trimmed_fastqc (2)	CACHED	0	2025-05-30 08:04:39.495	44.3s	42.7s	124.3%	649.3 MB	5 GB	276.8 MB	5 MB
12	b4/565fba	1903485	trinity	CACHED	0	2025-05-30 18:56:33.876	1h 43m 51s	1h 43m 49s	361.1%	8 GB	84.3 GB	78 GB	50.4 GB
15	a8/4939ab	2432280	transdecoder	CACHED	0	2025-05-30 22:01:08.330	4m 41s	4m 38s	100.3%	340.4 MB	876.7 MB	227.8 MB	99.7 MB
16	5e/199378	2431360	salmonIndex	CACHED	0	2025-05-30 22:00:54.709	7.3s	5.1s	220.3%	96.2 MB	195.4 MB	133.6 MB	43.8 MB
17	75/d90cc6	2407469	trimmed_multiqc	CACHED	0	2025-05-30 20:40:24.906	7.8s	5.8s	59.0%	125.2 MB	724.4 MB	45.1 MB	18.3 MB
14	5b/0f0544	2484336	transrate	CACHED	0	2025-05-30 23:43:54.955	3.1s	932ms	77.8%	7.5 MB	28.6 MB	8.6 MB	133.4 KB
13	7b/504ccf	2440621	busco	CACHED	0	2025-05-30 22:06:06.749	7m 22s	7m 18s	319.8%	2.6 GB	6.7 GB	1.5 GB	1.9 GB
20	97/cff9e8	2459437	salmonQuant (2)	CACHED	0	2025-05-30 22:13:28.799	16.4s	14.8s	375.1%	360.3 MB	530.7 MB	278.3 MB	212.6 KB
19	92/3c0f74	2460152	salmonQuant (1)	CACHED	0	2025-05-30 22:13:45.186	16s	14.6s	365.5%	360.8 MB	530.7 MB	273.8 MB	212.6 KB
18	53/cb0b4e	2494080	eggNOG_mapper	FAILED	1	2025-05-31 00:22:06.185	1.9s	1.9s	-	-	-	-	-
